idx,code,year,era,kpit,kbb,wpa,re24,whip
0,50030,2020,3.68,0.043,2.152,0.045,0.78,1.387
1,50030,2021,3.96,0.041,1.589,0.018,0.89,1.496
2,50030,2022,3.01,0.048,3.098,0.05,1.33,1.177
3,50040,2020,4.42,0.043,2.214,0.05,0.27,1.512
4,50040,2021,3.29,0.049,2.112,0.055,1.61,1.358
5,50040,2022,4.67,0.043,2.51,-0.019,0.33,1.595
6,50126,2020,3.83,0.04,1.543,0.009,0.78,1.564
7,50126,2021,4.3,0.05,2.222,0.012,0.56,1.296
8,50126,2022,5.51,0.035,1.698,-0.018,-0.175,1.642
9,50157,2020,6.16,0.032,1.583,-0.006,-0.34,1.704
10,50157,2021,4.59,0.048,1.514,0.02,0.57,1.665
11,50157,2022,3.22,0.045,3.111,0.088,1.045,1.317
12,50157,2023,5.29,0.037,1.5,-0.015,0.78,1.682
13,50234,2020,2.79,0.068,4.432,0.08,1.055,1.097
14,50360,2021,5.05,0.023,0.882,0.001,0.45,1.72
15,50404,2020,3.45,0.043,2.42,0.12,2.33,1.311
16,50404,2021,3.08,0.054,2.75,0.06,0.89,1.315
17,50404,2022,3.04,0.045,3.0,0.028,1.33,1.394
18,50404,2023,3.21,0.054,4.024,0.025,0.33,1.27
19,50441,2022,7.06,0.04,1.71,-0.114,-0.215,1.839
20,50449,2020,4.8,0.021,0.581,-0.075,-0.23,1.689
21,50449,2022,6.55,0.037,1.059,-0.047,-0.155,1.891
22,50464,2021,8.58,0.03,1.222,-0.117,-0.86,1.991
23,50524,2020,5.4,0.04,2.417,-0.006,-0.01,1.608
24,50558,2020,2.5,0.065,4.02,0.117,1.89,1.058
25,50558,2021,4.07,0.055,2.448,0.044,0.94,1.425
26,50558,2022,2.31,0.053,2.5,0.064,1.33,1.316
27,50558,2023,4.04,0.049,1.944,-0.002,0.67,1.557
28,50636,2020,2.5,0.059,5.417,0.177,1.86,1.044
29,50636,2021,3.35,0.045,3.438,0.112,1.78,1.41
30,50640,2020,4.34,0.05,2.203,-0.005,0.48,1.472
31,50720,2022,6.37,0.026,0.911,-0.092,0.08,1.764
32,50726,2023,3.25,0.048,2.111,0.015,0.56,1.602
33,50815,2021,3.19,0.056,3.195,0.102,1.33,1.139
34,50835,2020,6.17,0.038,1.244,-0.112,-0.45,1.864
35,50859,2021,5.89,0.045,1.301,-0.064,0.12,1.9
36,50859,2022,4.39,0.045,1.983,-0.032,0.33,1.517
37,50859,2023,4.8,0.039,1.618,0.084,0.78,1.45
38,50912,2020,4.87,0.045,1.939,-0.047,0.16,1.531
39,50992,2022,3.25,0.039,1.476,0.002,0.56,1.398
40,51136,2021,2.29,0.064,3.023,0.117,1.67,1.208
41,51230,2023,3.38,0.05,3.267,0.026,0.45,1.411
42,51234,2021,2.98,0.055,2.667,0.142,2.33,1.508
43,51257,2021,2.32,0.077,3.554,0.135,2.33,1.153
44,51264,2022,5.3,0.036,1.488,0.002,0.12,1.596
45,51264,2023,5.85,0.043,2.25,-0.108,-0.735,1.633
46,51359,2023,3.45,0.054,1.375,0.056,1.12,1.66
47,51439,2021,5.47,0.055,1.447,-0.102,-0.185,1.728
48,51516,2021,6.31,0.045,0.918,0.003,0.09,2.124
49,51516,2022,6.56,0.058,1.486,-0.087,-1.125,1.864
50,51567,2021,5.4,0.045,1.653,0.02,-0.23,1.613
51,51619,2021,3.6,0.053,2.971,0.04,0.94,1.267
52,51636,2021,4.91,0.07,3.833,-0.17,-0.67,1.691
53,51648,2021,3.61,0.057,1.661,-0.029,0.67,1.342
54,51648,2022,4.02,0.061,2.104,-0.021,0.33,1.384
55,51648,2023,4.1,0.062,1.433,0.0,0.33,1.618
56,51715,2021,4.7,0.035,1.0,-0.085,-0.6,1.957
57,51722,2021,3.97,0.06,2.486,0.075,1.08,1.418
58,51761,2021,4.5,0.036,1.04,-0.001,0.47,1.658
59,51833,2021,5.86,0.054,2.333,0.005,-1.14,1.537
60,51863,2021,3.46,0.062,3.489,0.002,0.78,1.14
61,51863,2022,2.67,0.059,4.703,0.178,2.33,0.982
62,51948,2023,4.05,0.04,1.281,-0.005,0.78,1.556
63,51967,2021,3.72,0.062,2.349,0.072,1.33,1.376
64,51967,2022,3.56,0.056,2.048,0.028,0.83,1.302
65,52043,2022,2.71,0.057,3.321,0.074,1.33,1.122
66,52043,2023,4.17,0.059,3.067,-0.066,-0.23,1.379
67,52145,2022,2.58,0.057,3.947,0.14,1.33,1.069
68,52145,2023,2.06,0.05,3.619,0.174,2.33,1.104
69,52234,2022,3.55,0.048,1.663,-0.047,0.33,1.539
70,52257,2022,3.6,0.036,1.667,0.018,0.78,1.246
71,52257,2023,0.82,0.066,3.444,0.283,2.89,0.97
72,52308,2022,4.05,0.036,2.25,-0.02,0.33,1.533
73,52457,2022,2.49,0.054,3.18,0.108,1.78,1.18
74,52457,2023,4.3,0.046,2.769,0.019,0.89,1.58
75,52528,2022,3.62,0.054,3.404,0.051,0.89,1.293
76,52528,2023,4.02,0.053,2.397,-0.065,-0.8,1.449
77,52530,2022,5.88,0.057,1.947,0.001,-0.26,1.96
78,52557,2022,5.31,0.057,2.07,-0.027,0.27,1.713
79,52606,2022,2.51,0.051,2.92,0.072,1.33,1.244
80,52637,2022,2.56,0.054,4.269,0.07,1.275,1.208
81,52645,2022,5.89,0.039,1.143,-0.138,-1.62,1.759
82,52701,2023,3.6,0.055,2.439,0.013,1.33,1.31
83,52707,2022,4.13,0.04,1.27,0.04,0.78,1.469
84,52720,2022,3.72,0.059,2.4,0.081,1.33,1.433
85,52720,2023,3.04,0.051,2.533,0.02,1.055,1.233
86,52808,2022,2.27,0.054,2.76,0.276,2.89,1.223
87,52833,2022,6.5,0.031,1.28,-0.092,-0.685,1.696
88,52950,2022,4.54,0.05,2.846,-0.068,0.11,1.563
89,53040,2023,5.62,0.043,2.5,-0.117,-1.12,1.631
90,53375,2023,2.88,0.053,3.429,0.091,1.31,1.216
91,53613,2023,4.09,0.035,1.615,0.082,1.43,1.349
92,53645,2023,6.05,0.036,1.241,-0.177,-1.18,1.759
93,53664,2023,3.76,0.049,2.462,0.038,0.77,1.316
94,53714,2023,1.48,0.049,4.222,0.169,2.33,1.068
95,53825,2023,4.07,0.045,2.214,-0.028,0.33,1.476
96,53833,2023,2.52,0.053,2.64,0.151,1.89,1.107
97,53913,2023,1.83,0.074,4.826,0.12,1.33,1.064
98,53927,2023,5.42,0.053,1.789,-0.201,-0.92,1.438
99,60140,2018,5.86,0.066,3.294,0.011,0.21,1.618
100,60140,2019,5.84,0.043,1.667,0.002,0.3,1.679
101,60263,2018,4.79,0.042,2.367,-0.008,0.46,1.431
102,60263,2019,3.75,0.043,2.116,0.018,0.395,1.427
103,60263,2020,6.55,0.039,1.419,-0.132,-0.69,1.688
104,60263,2021,5.2,0.043,1.25,-0.059,0.33,1.59
105,60263,2022,4.75,0.045,1.333,-0.0,-0.055,1.505
106,60263,2023,2.7,0.042,1.353,0.165,2.045,0.96
107,60339,2018,5.54,0.038,1.583,0.001,0.56,1.731
108,60559,2019,4.23,0.059,2.222,0.019,0.56,1.33
109,60768,2019,5.8,0.059,4.923,0.015,0.56,1.35
110,60768,2021,5.73,0.038,1.938,0.002,0.35,1.514
111,60768,2022,3.58,0.035,2.542,0.034,0.67,1.301
112,60768,2023,2.5,0.047,3.375,0.007,0.4,1.167
113,60841,2018,4.16,0.049,2.281,0.057,0.33,1.491
114,60841,2019,3.85,0.039,1.695,0.006,0.56,1.586
115,60841,2020,4.81,0.047,1.718,-0.017,0.33,1.57
116,60841,2021,2.82,0.047,2.412,0.117,1.33,1.178
117,60841,2022,5.72,0.044,1.68,0.007,0.015,1.689
118,60841,2023,6.75,0.034,0.915,-0.182,-1.18,2.016
119,61101,2018,5.77,0.047,2.66,-0.035,-0.23,1.745
120,61101,2019,5.12,0.046,1.553,0.0,0.31,1.55
121,61101,2020,4.12,0.053,2.123,-0.048,-0.105,1.453
122,61101,2021,4.06,0.046,1.683,0.022,0.565,1.344
123,61101,2022,4.99,0.045,1.9,-0.078,-0.24,1.529
124,61101,2023,3.43,0.042,1.967,0.094,0.77,1.286
125,61145,2019,4.85,0.037,0.866,0.017,0.39,1.648
126,61145,2021,5.56,0.042,1.08,-0.03,-0.45,1.824
127,61214,2019,5.13,0.032,1.158,-0.002,0.38,1.76
128,61240,2018,4.25,0.056,4.231,0.067,1.33,1.474
129,61268,2019,1.83,0.044,2.167,0.008,0.56,1.083
130,61268,2020,3.21,0.04,2.118,0.028,0.56,1.265
131,61365,2018,7.93,0.023,0.833,-0.142,-0.78,2.037
132,61365,2020,5.1,0.027,1.423,0.0,0.18,1.635
133,61365,2021,6.35,0.032,1.8,0.001,0.17,1.686
134,61365,2023,3.23,0.054,2.455,0.012,0.365,1.239
135,61643,2019,7.16,0.036,1.576,-0.035,-1.64,1.812
136,61666,2018,5.83,0.042,1.477,-0.047,-0.67,1.75
137,61666,2022,5.27,0.049,1.725,-0.055,-0.3,1.817
138,62360,2018,6.04,0.044,2.0,0.0,0.56,1.741
139,62360,2019,4.71,0.046,2.167,0.004,0.48,1.486
140,62360,2020,4.2,0.038,1.739,0.025,0.56,1.585
141,62363,2018,4.97,0.038,2.073,-0.069,-0.275,1.68
142,62363,2020,4.95,0.049,2.821,0.028,0.57,1.438
143,62363,2021,4.3,0.044,2.065,-0.006,0.33,1.489
144,62363,2022,4.87,0.044,2.44,0.003,0.56,1.475
145,62363,2023,5.31,0.038,1.5,-0.096,0.2,1.803
146,62528,2018,6.94,0.05,1.779,-0.07,-0.45,1.803
147,62528,2019,5.63,0.049,1.979,0.002,0.56,1.769
148,62611,2019,4.2,0.029,0.929,0.001,0.275,1.723
149,62698,2018,3.52,0.066,6.464,0.091,1.16,1.241
150,62698,2019,4.07,0.065,4.125,0.051,0.42,1.192
151,62754,2018,6.26,0.036,2.0,-0.002,-1.23,1.838
152,62754,2019,5.73,0.044,1.947,0.001,0.445,1.808
153,62754,2020,5.15,0.048,3.212,-0.06,-0.23,1.52
154,62754,2021,4.88,0.051,2.867,-0.029,0.33,1.379
155,62754,2022,4.24,0.039,2.278,-0.003,0.455,1.384
156,62869,2018,4.7,0.048,3.385,-0.041,0.22,1.451
157,62869,2019,3.97,0.046,3.091,0.051,0.56,1.174
158,62869,2020,3.65,0.05,2.6,0.041,0.89,1.284
159,62869,2021,2.86,0.037,1.778,0.005,0.89,1.232
160,62869,2023,4.5,0.045,2.385,0.008,0.535,1.571
161,62920,2018,7.16,0.054,1.241,-0.01,-0.4,2.02
162,62937,2018,6.71,0.032,2.333,-0.045,-0.48,1.643
163,62951,2018,5.17,0.025,0.917,0.0,0.24,1.648
164,62966,2018,8.44,0.025,0.818,-0.007,-0.04,2.009
165,63111,2019,4.22,0.034,1.192,-0.054,-0.23,1.65
166,63145,2018,4.42,0.056,2.05,-0.004,-0.285,1.422
167,63145,2019,5.14,0.041,1.364,0.0,0.12,1.619
168,63145,2021,4.13,0.038,1.769,-0.001,0.02,1.776
169,63145,2022,2.3,0.042,1.533,0.005,0.57,1.309
170,63248,2020,3.83,0.056,2.619,0.016,0.56,1.42
171,63292,2021,5.64,0.03,1.138,-0.009,-0.15,1.681
172,63464,2021,3.94,0.042,1.588,0.009,0.56,1.481
173,63464,2022,7.41,0.04,3.0,-0.07,-0.45,1.726
174,63938,2018,4.98,0.044,1.971,-0.116,-0.05,1.539
175,63950,2020,10.76,0.032,1.182,0.0,-0.42,2.171
176,63991,2019,3.11,0.042,3.172,0.07,0.74,1.313
177,63991,2020,5.23,0.03,1.692,0.001,0.24,1.558
178,64001,2018,5.13,0.059,5.36,-0.162,-0.67,1.514
179,64001,2021,2.94,0.053,4.889,0.056,0.77,1.138
180,64001,2022,3.41,0.058,6.783,0.075,1.33,1.283
181,64001,2023,2.91,0.05,6.889,0.238,1.89,1.171
182,64017,2021,2.89,0.047,3.182,0.006,0.56,1.136
183,64017,2022,3.68,0.03,1.235,0.007,0.51,1.477
184,64021,2018,9.92,0.039,1.379,-0.196,-1.695,2.367
185,64021,2019,4.2,0.044,1.913,-0.099,-0.125,1.483
186,64021,2020,4.7,0.043,2.298,-0.043,-0.23,1.575
187,64021,2021,3.98,0.048,2.358,-0.001,0.555,1.252
188,64021,2022,3.78,0.056,4.562,0.066,0.78,1.405
189,64021,2023,2.5,0.049,2.267,0.163,1.835,1.258
190,64029,2018,4.91,0.036,2.0,0.001,0.56,1.568
191,64565,2020,3.97,0.031,1.75,0.001,0.56,1.566
192,64565,2021,4.11,0.047,3.214,0.001,0.38,1.549
193,64565,2022,4.19,0.035,2.367,-0.013,0.5,1.476
194,64615,2019,4.36,0.033,1.056,0.032,0.56,1.667
195,64718,2021,6.2,0.037,1.167,-0.0,0.135,1.746
196,64768,2020,5.96,0.029,1.52,-0.004,0.05,1.597
197,64768,2021,5.67,0.043,1.846,0.0,0.42,1.5
198,64805,2018,4.57,0.049,1.85,0.0,0.115,1.597
199,64805,2020,5.22,0.054,2.333,0.02,0.56,1.558
200,64861,2020,5.68,0.041,1.123,-0.076,-0.64,1.574
201,65048,2019,4.96,0.043,1.867,0.036,0.56,1.482
202,65048,2020,6.1,0.037,2.1,-0.06,-0.79,1.79
203,65048,2021,2.95,0.06,2.292,0.003,0.56,1.483
204,65056,2021,4.1,0.049,1.607,0.014,0.78,1.367
205,65056,2022,3.03,0.059,3.021,0.034,0.56,1.254
206,65056,2023,4.02,0.049,3.0,0.008,1.055,1.262
207,65060,2018,8.39,0.035,2.0,-0.002,0.2,1.739
208,65320,2018,3.95,0.047,2.886,0.093,1.33,1.414
209,65320,2019,3.89,0.042,2.892,0.009,0.4,1.351
210,65320,2020,5.07,0.039,1.811,0.006,0.47,1.464
211,65320,2021,4.72,0.038,1.774,0.01,0.33,1.6
212,65320,2022,3.76,0.036,1.522,0.028,0.56,1.383
213,65320,2023,2.76,0.051,2.88,0.16,2.33,1.204
214,65331,2018,4.3,0.052,3.711,-0.086,-0.12,1.408
215,65392,2021,7.11,0.035,1.167,-0.007,0.02,1.705
216,65516,2019,3.76,0.041,1.625,0.005,0.67,1.451
217,65516,2020,3.88,0.036,1.13,0.058,1.33,1.479
218,65516,2021,3.74,0.057,1.711,-0.024,0.33,1.459
219,65516,2022,4.13,0.049,1.957,0.0,0.33,1.394
220,65516,2023,4.1,0.038,1.257,0.027,1.33,1.618
221,65543,2018,3.0,0.061,4.119,0.099,1.33,1.109
222,65543,2019,2.48,0.063,6.258,0.153,1.78,1.032
223,65546,2018,4.74,0.058,3.296,-0.072,0.05,1.419
224,65546,2019,3.88,0.048,2.154,-0.022,0.33,1.464
225,65616,2018,7.17,0.037,1.217,0.0,-0.045,2.124
226,65616,2019,5.43,0.053,2.154,-0.0,0.18,1.712
227,65616,2020,6.79,0.037,1.426,-0.148,-0.775,1.717
228,65616,2021,8.05,0.027,0.903,-0.066,-1.06,2.0
229,65616,2022,6.25,0.029,1.353,0.005,0.56,1.791
230,65618,2018,4.96,0.042,2.917,0.0,0.28,1.443
231,65639,2020,4.64,0.049,1.208,0.003,0.25,1.667
232,65639,2021,7.42,0.043,1.857,0.0,-0.925,1.813
233,65665,2019,6.35,0.046,1.654,0.0,0.14,1.843
234,65665,2021,5.55,0.04,1.368,0.007,0.385,1.402
235,65742,2018,3.8,0.051,4.062,0.07,0.35,1.325
236,65764,2018,6.42,0.041,1.762,-0.058,-0.435,1.822
237,65764,2019,6.75,0.039,1.533,-0.037,-0.27,1.706
